ÐÕÃû,ÊµÑé×éÊý,Ò»×éÊµÑé´ÎÊý,Ä£Ê½ÇÐ»»¼¼Êõ,Ä¿±êÑÕÉ«,Ä¿±ê´ÖÏ¸,¿ªÊ¼Ê±¼ä,½áÊøÊ±¼ä,ÑÕÉ«ÇÐ»»Ê±¼ä,ÏñËØÇÐ»»Ê±¼ä,Ä£Ê½ÇÐ»»×ÜÊ±¼ä,»æÖÆÍêÕûÊ±¼ä,µÚÒ»¶Î»æÖÆÊ±¼ä,µÚ¶þ¶Î»æÖÆÊ±¼ä,µÚÈý¶Î»æÖÆÊ±¼ä,ÑÕÉ«²Ëµ¥Îó´¥·¢Êý,ÏñËØ²Ëµ¥Îó´¥·¢Êý,Îó´¥·¢×ÜÊý,ÑÕÉ«ÇÐ»»´íÎóÊý,ÏñËØÇÐ»»´íÎóÊý,Ä£Ê½ÇÐ»»×Ü´íÎóÊý,Ñ¹Á¦,·½Î»½Ç,ÇãÐ±½Ç,
,1,2,´«Í³Ð´×ÖÃæ°åÄ£Ê½,À¶É«,2.0,2021-01-15 14:30:30:727,2021-01-15 14:30:31:211,4580,253644,258224,260609,622,1279,484,1,1,2,2,2,4,0.0,0,0,
,1,3,´«Í³Ð´×ÖÃæ°åÄ£Ê½,ºìÉ«,4.0,2021-01-15 14:30:48:227,2021-01-15 14:30:48:612,13745,564,14309,15949,781,474,385,1,1,2,2,3,5,0.0,0,0,
,1,1,´«Í³Ð´×ÖÃæ°åÄ£Ê½,ºìÉ«,4.0,2021-01-15 14:32:14:321,2021-01-15 14:32:14:696,2650,1958,4608,6763,868,912,375,0,0,0,0,0,0,0.0,0,0,
,1,1,´«Í³Ð´×ÖÃæ°åÄ£Ê½,À¶É«,4.0,2021-01-15 14:41:21:569,2021-01-15 14:41:21:878,300,211,511,2110,661,629,309,0,0,0,1,1,2,0.0,0,0,
,1,2,´«Í³Ð´×ÖÃæ°åÄ£Ê½,»ÆÉ«,2.0,2021-01-15 14:41:26:119,2021-01-15 14:41:26:429,411,201,612,2908,1057,929,310,0,0,0,2,2,4,0.0,0,0,
,1,3,´«Í³Ð´×ÖÃæ°åÄ£Ê½,»ÆÉ«,4.0,2021-01-15 14:41:29:148,2021-01-15 14:41:29:468,390,200,590,1759,359,490,320,0,0,0,3,3,6,0.0,0,0,
,1,1,P-Êµ¼ÊÖµ,»ÆÉ«,2.0,2021-01-17 00:14:04:122,2021-01-17 00:14:04:457,274,183,457,2397,1033,571,336,0,0,0,1,1,2,0.0,0,0,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,2.0,2021-01-20 15:05:54:250,2021-01-20 15:06:02:980,1153,855,2008,8730,2677,2994,1051,33,41,74,1,1,2,85.116,60,60,
ÊÔ¼ÁºÐ,1,1,P-Êµ¼ÊÖµ,»ÆÉ«,4.0,2021-01-20 15:08:03:264,2021-01-20 15:08:10:719,3038,18,3056,7455,3577,63,759,37,60,97,1,1,2,129.123,59,59,
,1,1,T-Êµ¼ÊÖµ,,,2021-01-23 15:37:39:898,2021-01-23 15:37:51:696,1611387459540,1611387469225,3222774928765,11798,1542,6476,2010,14,19,33,1,1,2,0.0,0,0,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,3.0,2021-01-28 21:53:46:799,2021-01-28 21:53:54:249,2254,2477,4731,7450,5319,31,1206,0,0,0,1,1,2,893.110,53,53,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,2021-01-28 21:55:27:882,2021-01-28 21:55:30:653,9708,-1611842130386,-1611842120678,2771,344,546,456,1,0,1,0,1,1,535.92,62,62,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,3.0,2021-01-28 21:58:02:170,2021-01-28 21:58:20:228,6398,8523,14921,18058,5215,3401,6136,0,0,0,1,1,2,909.123,58,58,
,1,1,P-Êµ¼ÊÖµ,,,2021-01-28 21:59:38:636,2021-01-28 21:59:42:960,1611842378495,1611842382223,3223684760718,4324,734,2743,390,17,13,30,1,1,2,882.114,51,51,
,1,1,P-Êµ¼ÊÖµ,,,2021-01-28 22:05:48:804,2021-01-28 22:05:54:931,1611842750990,1611842753990,3223685504980,6127,2186,2607,547,9,8,17,1,1,2,883.111,59,59,
,1,1,T-Êµ¼ÊÖµ,,,2021-01-28 22:08:02:939,2021-01-28 22:08:07:30,1611842878637,1611842882687,3223685761324,4091,548,470,2290,15,13,28,1,1,2,0.0,46,46,
,1,1,A-Êµ¼ÊÖµ,,,2021-01-28 22:09:49:779,2021-01-28 22:09:57:926,1611842986305,1611842996486,3223685982791,8147,1363,5235,687,16,17,33,1,1,2,0.177,0,0,
²âÊÔ,1,1,P-Êµ¼ÊÖµ,À¶É«,4.0,2021-02-07 14:43:47:340,2021-02-07 14:43:55:826,3040,5300,8340,8486,1973,3527,1113,0,0,0,1,0,1,886.105,53,53,
²âÊÔ,1,2,P-Êµ¼ÊÖµ,À¶É«,3.0,2021-02-07 14:45:16:556,2021-02-07 14:45:27:176,3072,6871,9943,10620,17,8570,1336,0,0,0,2,1,3,884.104,56,56,
²ð,1,1,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,4.0,2021-02-07 14:47:26:990,2021-02-07 14:47:45:264,7879,4083,11962,18274,1397,1367,899,1,1,2,0,0,0,168.106,51,51,
²ð,1,2,´«Í³»­ÏßÄ£Ê½,À¶É«,4.0,2021-02-07 14:48:13:159,2021-02-07 14:48:28:495,4868,4956,9824,15336,1058,1292,797,2,2,4,0,0,0,119.114,43,43,
·¢,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,2021-02-07 14:53:01:948,2021-02-07 14:53:13:281,3500,3203,6703,11348,1086,1194,720,0,0,0,0,0,0,258.114,53,53,
,1,1,P-Êµ¼ÊÖµ,»ÆÉ«,2.0,2021-02-07 14:54:08:191,2021-02-07 14:54:21:984,5140,3148,8288,13793,6572,4711,1018,0,0,0,1,1,2,908.120,55,55,
,1,3,P-Êµ¼ÊÖµ,À¶É«,3.0,2021-02-07 14:56:04:114,2021-02-07 14:56:15:437,3062,4049,7111,11323,3663,5510,752,0,14,14,3,2,5,883.105,48,48,
,1,1,P-Êµ¼ÊÖµ,»ÆÉ«,2.0,2021-02-07 14:57:03:550,2021-02-07 14:57:16:167,5419,2701,8120,12617,6111,4227,860,0,0,0,1,1,2,884.104,52,52,
,1,1,P-Êµ¼ÊÖµ,À¶É«,3.0,2021-02-07 14:58:33:938,2021-02-07 14:58:46:72,3718,3472,7190,12134,4595,5529,911,0,0,0,1,1,2,878.112,46,46,
,1,1,P-Êµ¼ÊÖµ,À¶É«,2.0,2021-02-07 14:59:21:806,2021-02-07 14:59:32:544,4036,3252,7288,10754,4631,4502,777,0,0,0,0,0,0,877.112,49,49,
»¹ÊÇÍ¦,1,1,P-Êµ¼ÊÖµ,ºìÉ«,2.0,2021-02-07 15:36:53:705,2021-02-07 15:37:05:960,3363,5126,8489,11657,3850,5153,884,0,0,0,0,1,1,898.118,45,45,
,1,1,P-Êµ¼ÊÖµ,À¶É«,4.0,2021-02-07 15:40:06:181,2021-02-07 15:40:15:963,3045,3183,6228,9106,3505,3183,861,0,0,0,0,1,1,881.110,43,43,
,1,2,P-Êµ¼ÊÖµ,ºìÉ«,4.0,2021-02-07 15:40:19:705,2021-02-07 15:40:29:769,4269,2215,6484,9133,5309,2230,449,0,0,0,1,1,2,877.112,45,45,
,1,1,T-Êµ¼ÊÖµ,»ÆÉ«,3.0,2021-02-07 15:48:33:203,2021-02-07 15:48:46:585,5397,4650,10047,13382,5515,4700,849,0,0,0,1,1,2,0.0,80,80,
,1,1,T-Êµ¼ÊÖµ,ºìÉ«,2.0,2021-02-07 15:49:36:358,2021-02-07 15:49:47:192,3294,5554,8848,10834,7222,502,1531,0,0,0,1,1,2,0.0,32,32,
,1,1,T-Êµ¼ÊÖµ,À¶É«,,2021-02-07 15:51:59:532,2021-02-07 15:52:01:935,-1612684321039,0,-1612684321039,2403,508,412,974,0,0,0,1,0,1,0.0,42,42,
,1,2,T-Êµ¼ÊÖµ,»ÆÉ«,,2021-02-07 15:52:13:986,2021-02-07 15:52:15:412,-1612684330252,0,-1612684330252,1426,226,241,848,0,0,0,2,0,2,0.0,46,46,
,1,3,T-Êµ¼ÊÖµ,ºìÉ«,,2021-02-07 15:52:24:379,2021-02-07 15:52:27:705,-1612684347086,0,-1612684347086,3326,497,825,1609,0,0,0,3,0,3,0.0,46,46,
,1,4,T-Êµ¼ÊÖµ,»ÆÉ«,2.0,2021-02-07 15:52:43:319,2021-02-07 15:52:51:692,3543,3981,7524,8373,407,5234,1188,0,0,0,4,0,4,0.0,80,80,
²å¼þ,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,4.0,2021-02-07 15:59:21:738,2021-02-07 15:59:28:615,2480,1831,4311,6877,729,880,345,0,0,0,0,0,2,0.0,0,0,
²å¼þ,1,2,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,2021-02-07 15:59:30:384,2021-02-07 15:59:37:791,2524,2314,4838,7407,972,529,252,0,0,0,0,0,4,0.0,0,0,
²å¼þ,1,3,´«Í³»­ÏßÄ£Ê½,ºìÉ«,3.0,2021-02-07 15:59:37:539,2021-02-07 15:59:47:870,-3493,-696,-4189,10331,252,375,838,0,0,2,0,0,6,0.0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,ºìÉ«,3.0,2021-02-07 16:03:11:576,2021-02-07 16:03:14:239,-1816,-2173,-3989,2678,848,832,464,1,1,2,1,0,1,0.0,0,0,
,1,2,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,2021-02-07 16:03:16:934,2021-02-07 16:03:23:33,1945,1964,3909,6099,537,505,336,0,0,2,0,0,1,0.0,0,0,
,1,3,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,4.0,2021-02-07 16:03:25:780,2021-02-07 16:03:29:289,-6956,-6580,-13536,3509,490,790,404,0,0,2,1,1,3,0.0,0,0,
ËÄ¸ö,1,1,A-Êµ¼ÊÖµ,À¶É«,4.0,2021-02-07 16:11:24:858,2021-02-07 16:11:33:188,3678,3499,7177,8330,644,1275,97,0,0,0,1,1,2,0.74,0,0,
,1,2,P-ÀëÉ¢Öµ,À¶É«,3.0,2021-02-07 16:56:35:603,2021-02-07 16:57:17:448,-1612688227222,-1612688233142,-3225376460364,31911,20727,927,4306,0,4,4,2,2,4,0.0,0,0,
,1,1,P-ÀëÉ¢Öµ,ºìÉ«,2.0,2021-02-07 16:58:56:64,2021-02-07 16:59:02:234,-1612688330307,-1612688337585,-3225376667892,6170,62,2931,1324,0,2,2,1,1,2,0.0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,2021-02-07 22:06:01:179,2021-02-07 22:06:04:762,2028,1975,4003,6454,582,705,455,0,0,0,0,0,0,0.0,0,0,
,1,1,P-ÀëÉ¢Öµ,À¶É«,4.0,2021-02-07 22:16:24:376,2021-02-07 22:16:42:769,5913,3818,9731,18409,950,2935,4793,0,0,0,1,1,2,0.0,0,0,
,1,3,P-ÀëÉ¢Öµ,»ÆÉ«,3.0,2021-02-07 22:16:24:376,2021-02-07 22:16:42:769,-39624,-52879,-92503,48867,3562,662,1139,0,0,1,1,1,6,0.0,0,0,
,1,1,P-ÀëÉ¢Öµ,ºìÉ«,4.0,2021-02-07 22:21:19:361,2021-02-07 22:21:28:93,-344,-3827,-4171,8748,3224,344,1697,1,1,2,1,1,2,0.0,0,0,
,1,2,P-ÀëÉ¢Öµ,ºìÉ«,3.0,2021-02-07 22:24:44:264,2021-02-07 22:25:11:262,-459,2470,2011,9137,2792,1618,1798,1,1,2,0,0,0,0.0,0,0,
,1,1,P-ÀëÉ¢Öµ,À¶É«,4.0,2021-02-07 22:26:02:633,2021-02-07 22:26:22:879,11919,4252,16171,19496,3063,1502,1823,0,1,1,0,0,0,0.0,0,0,
,1,1,T-ÀëÉ¢Öµ,»ÆÉ«,4.0,2021-02-07 22:26:55:535,2021-02-07 22:26:55:614,-4075,3286,-789,10657,3305,1675,1621,1,1,2,1,1,2,0.0,0,0,
,1,1,T-ÀëÉ¢Öµ,À¶É«,2.0,2021-02-07 22:27:40:620,2021-02-07 22:27:56:732,2852,4744,7596,16128,2078,2229,4225,0,0,0,1,1,2,0.0,0,0,
,1,1,T-ÀëÉ¢Öµ,ºìÉ«,4.0,2021-02-07 22:30:10:751,2021-02-07 22:30:23:304,3171,4394,7565,12553,1497,1705,1786,0,0,0,0,0,0,0.0,0,0,
,1,1,A-ÀëÉ¢Öµ,À¶É«,3.0,2021-02-07 22:32:28:445,2021-02-07 22:32:43:234,3599,5665,9264,14789,940,2239,2346,0,0,0,1,1,2,0.0,0,0,
,1,1,A-ÀëÉ¢Öµ,»ÆÉ«,3.0,2021-02-07 22:34:29:480,2021-02-07 22:35:15:629,14623,3088,17711,22411,2916,2188,2512,1,1,2,0,0,0,0.0,0,0,
´®,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,2021-02-23 09:59:20:852,2021-02-23 09:59:26:433,2569,2683,5252,9686,1021,1607,789,0,0,0,0,0,0,0.0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,2.0,2021-02-23 10:02:32:647,2021-02-23 10:02:33:533,-1614045752850,-1614045753353,-3228091506203,1284,317,282,199,0,0,0,1,1,2,0.0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,2.0,2021-02-23 10:35:29:54,2021-02-23 10:35:30:333,-1614047729307,-1614047730179,-3228095459486,1728,517,264,189,0,0,0,1,1,2,0.0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,2021-02-23 10:36:51:229,2021-02-23 10:36:51:984,-1614047811388,-1614047811872,-3228095623260,1092,229,302,174,0,0,0,1,1,2,0.0,0,0,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,4.0,2021-03-02 10:56:00:890,2021-03-02 10:56:14:389,4011,4964,8975,14721,5798,4968,1442,0,0,0,0,0,0,888.113,51,51,
,1,1,P-Êµ¼ÊÖµ,»ÆÉ«,4.0,2021-03-02 10:57:43:741,2021-03-02 10:57:55:893,3663,4410,8073,12531,4525,4413,873,0,0,0,0,0,0,876.110,51,51,
,1,1,P-Êµ¼ÊÖµ,À¶É«,4.0,2021-03-02 11:00:34:210,2021-03-02 11:00:44:48,3322,3503,6825,10680,3893,3507,963,0,0,0,0,0,0,876.115,49,49,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,2.0,2021-03-02 11:10:41:290,2021-03-02 11:10:50:44,2800,3241,6041,9000,3512,3484,680,0,0,0,0,0,0,884.123,46,46,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,4.0,2021-03-02 11:12:12:752,2021-03-02 11:12:20:929,2804,2283,5087,8502,3518,2286,635,0,0,0,0,0,0,88.110,50,50,
,1,1,P-å®žé™…å€¼,é»„è‰²,4.0,2021-03-02 11:13:38:570,2021-03-02 11:13:48:476,5278,2253,7531,10033,5808,2255,544,0,0,0,0,0,0,88.124,50,50,
,1,1,P-Êµ¼ÊÖµ,»ÆÉ«,4.0,2021-03-02 11:15:40:439,2021-03-02 11:15:47:934,2916,2741,5657,8018,3389,2774,593,0,0,0,0,0,0,876,122,46,
,1,1,P-Êµ¼ÊÖµ,À¶É«,2.0,2021-03-02 11:22:08:452,2021-03-02 11:22:15:855,2699,2447,5146,5018,140,2450,803,0,0,0,0,0,0,888,118,51,
,1,1,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,3.0,11:24:41:441,11:24:42:548,-1614655481647,-1614655482338,-3229310963985,1687,381,477,360,0,0,0,1,1,2,0,0,0,
,1,2,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,11:24:41:441,11:24:42:548,2343,3237,5580,10403,1103,1359,988,0,0,0,0,0,2,0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,11:28:46:81,11:28:54:659,4961,3811,8772,12959,1700,1910,537,0,0,0,0,0,0,0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,4.0,13:47:57:870,13:48:00:619,-1614664078182,-1614664079999,-3229328158181,3551,1406,945,175,0,0,0,1,1,2,0,0,0,
,1,2,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,13:47:57:870,13:48:00:619,-1614664084870,-1614664083234,-3229328168104,2416,568,449,315,0,0,0,1,1,4,0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,14:17:33:04,14:17:34:972,-1614665853752,-1614665854742,-3229331708494,2701,1012,738,526,0,0,0,1,1,2,0,0,0,
,1,2,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,14:17:33:04,14:17:34:972,-1614665858000,-1614665859120,-3229331717120,2722,575,678,692,0,0,0,1,1,4,0,0,0,
,1,3,´«Í³»­ÏßÄ£Ê½,À¶É«,4.0,14:17:33:04,14:17:34:972,-1614665862911,-1614665863796,-3229331726707,2266,637,654,492,0,0,0,1,1,6,0,0,0,
,1,4,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,3.0,14:17:33:04,14:17:34:972,-1614665866928,-1614665867431,-3229331734359,1813,569,441,390,0,0,0,1,1,8,0,0,0,
,1,5,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,14:17:33:04,14:17:34:972,-1614665871796,-1614665872417,-3229331744213,1903,727,417,357,0,0,0,1,1,10,0,0,0,
,1,6,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,4.0,14:17:33:04,14:17:34:972,-1614665875438,-1614665876141,-3229331751579,2647,747,558,297,0,0,0,1,1,12,0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,2.0,14:34:52:643,14:34:54:544,-1614666893337,-1614666894165,-3229333787502,2520,990,716,415,0,0,0,1,1,2,0,0,0,
,1,1,A-Êµ¼ÊÖµ,À¶É«,4.0,15:11:46:278,15:11:48:209,-7042,-1614669117627,-1614669124669,3976,1045,577,1107,3,0,3,0,1,1,0,0,0,
,1,2,A-Êµ¼ÊÖµ,»ÆÉ«,4.0,15:11:46:278,15:11:48:209,-17657,-1614669124905,-1614669142562,4042,18,421,1795,0,0,3,1,1,3,0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,10:32:35:541,10:32:36:852,-1614738756048,-1614738756825,-3229477512873,2004,693,407,459,0,0,0,1,1,2,0,0,0,
,1,2,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,3.0,10:32:35:541,10:32:36:852,-1614738760097,-1614738761028,-3229477521125,2323,974,414,300,0,0,0,1,1,4,0,0,0,
,1,3,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,10:32:35:541,10:32:36:852,-1614738764030,-1614738764563,-3229477528593,1483,503,340,285,0,0,0,1,1,6,0,0,0,
,1,4,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,10:32:35:541,10:32:36:852,-1614738767742,-1614738768532,-3229477536274,2012,672,607,322,0,0,0,1,1,8,0,0,0,
,1,5,´«Í³»­ÏßÄ£Ê½,ºìÉ«,4.0,10:32:35:541,10:32:36:852,-1614738771458,-1614738772045,-3229477543503,1405,505,332,256,0,0,0,1,1,10,0,0,0,
,1,6,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,4.0,10:32:35:541,10:32:36:852,-1614738774781,-1614738775252,-3229477550033,1390,482,320,238,0,0,0,1,1,12,0,0,0,
,1,7,´«Í³»­ÏßÄ£Ê½,ºìÉ«,3.0,10:32:35:541,10:32:36:852,-1614738777865,-1614738778275,-3229477556140,1293,421,294,269,0,0,0,1,1,14,0,0,0,
,1,8,´«Í³»­ÏßÄ£Ê½,À¶É«,4.0,10:32:35:541,10:32:36:852,-1614738780809,-1614738781280,-3229477562089,1178,367,227,292,0,0,0,1,1,16,0,0,0,
,1,9,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,2.0,10:32:35:541,10:32:36:852,-1614738783854,-1614738784361,-3229477568215,1386,379,290,282,0,0,0,1,1,18,0,0,0,
,1,1,P-Êµ¼ÊÖµ,ºìÉ«,2.0,10:33:48:211,10:33:49:162,-1614738828504,-1614738829006,-3229477657510,1042,417,156,190,0,0,0,1,1,2,0,0,0,
,1,2,P-Êµ¼ÊÖµ,À¶É«,2.0,10:33:48:211,10:33:49:162,-1614738832282,-1614738832975,-3229477665257,1240,333,139,265,0,0,0,1,1,4,0,0,0,
,1,3,P-Êµ¼ÊÖµ,»ÆÉ«,3.0,10:33:48:211,10:33:49:162,-1614738835499,-1614738835999,-3229477671498,1024,346,125,265,0,0,0,1,1,6,0,0,0,
,1,4,P-Êµ¼ÊÖµ,ºìÉ«,3.0,10:33:48:211,10:33:49:162,-1614738838565,-1614738839242,-3229477677807,1275,401,112,345,0,0,0,1,1,8,0,0,0,
,1,5,P-Êµ¼ÊÖµ,À¶É«,3.0,10:33:48:211,10:33:49:162,-1614738842231,-1614738842698,-3229477684929,1117,202,191,300,0,0,0,1,1,10,0,0,0,
,1,6,P-Êµ¼ÊÖµ,»ÆÉ«,4.0,10:33:48:211,10:33:49:162,-1614738845786,-1614738846296,-3229477692082,1032,315,146,237,0,0,0,1,1,12,0,0,0,
,1,7,P-Êµ¼ÊÖµ,ºìÉ«,4.0,10:33:48:211,10:33:49:162,-1614738848972,-1614738849490,-3229477698462,1104,384,216,249,0,0,0,1,1,14,0,0,0,
,1,8,P-Êµ¼ÊÖµ,»ÆÉ«,2.0,10:33:48:211,10:33:49:162,-1614738852284,-1614738852781,-3229477705065,1068,362,191,228,0,0,0,1,1,16,0,0,0,
,1,9,P-Êµ¼ÊÖµ,À¶É«,4.0,10:33:48:211,10:33:49:162,-1614738855680,-1614738856188,-3229477711868,1091,391,199,248,0,0,0,1,1,18,0,0,0,
,1,1,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,10:34:46:952,10:34:47:751,-1614738887243,-1614738887631,-3229477774874,1121,415,244,216,0,0,0,1,1,2,0,0,0,
,1,2,´«Í³»­ÏßÄ£Ê½,ºìÉ«,3.0,10:34:46:952,10:34:47:751,-1614738890167,-1614738890672,-3229477780839,1244,414,326,258,0,0,0,1,1,4,0,0,0,
,1,3,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,3.0,10:34:46:952,10:34:47:751,-1614738893418,-1614738894023,-3229477787441,1455,476,367,319,0,0,0,1,1,6,0,0,0,
,1,4,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,4.0,10:34:46:952,10:34:47:751,-1614738896803,-1614738897243,-3229477794046,1266,463,305,288,0,0,0,1,1,8,0,0,0,
,1,5,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,2.0,10:34:46:952,10:34:47:751,-1614738899883,-1614738900434,-3229477800317,1467,525,417,326,0,0,0,1,1,10,0,0,0,
,1,6,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,10:34:46:952,10:34:47:751,-1614738903395,-1614738903918,-3229477807313,3601,372,282,319,0,0,0,1,1,12,0,0,0,
,1,7,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,10:34:46:952,10:34:47:751,-1614738909517,-1614738909900,-3229477819417,1338,408,374,274,0,0,0,1,1,14,0,0,0,
,1,8,´«Í³»­ÏßÄ£Ê½,À¶É«,4.0,10:34:46:952,10:34:47:751,-1614738912801,-1614738913355,-3229477826156,1522,522,301,323,0,0,0,1,1,16,0,0,0,
,1,9,´«Í³»­ÏßÄ£Ê½,ºìÉ«,4.0,10:34:46:952,10:34:47:751,-1614738915863,-1614738916341,-3229477832204,1188,414,293,219,0,0,0,1,1,18,0,0,0,
,2,1,´«Í³»­ÏßÄ£Ê½,ºìÉ«,2.0,10:40:27:478,10:40:28:374,-1614739227683,-1614739228312,-3229478455995,1256,453,291,194,0,0,0,1,1,2,0,0,0,
,2,2,´«Í³»­ÏßÄ£Ê½,»ÆÉ«,3.0,10:40:27:478,10:40:28:374,-1614739230731,-1614739231245,-3229478461976,1322,425,276,350,0,0,0,1,1,4,0,0,0,
,2,3,´«Í³»­ÏßÄ£Ê½,À¶É«,3.0,10:40:27:478,10:40:28:374,-1614739233088,-1614739233602,-3229478466690,1306,463,360,275,0,0,0,1,1,6,0,0,0,
,2,4,´«Í³»­ÏßÄ£Ê½,À¶É«,2.0,10:40:27:478,10:40:28:374,-1614739235311,-1614739235794,-3229478471105,1430,414,398,334,0,0,0,1,1,8,0,0,0,
